         table_name          |       column_name       |          data_type          | is_nullable |                   column_default                   | character_maximum_length | numeric_precision | numeric_scale 
-----------------------------+-------------------------+-----------------------------+-------------+----------------------------------------------------+--------------------------+-------------------+---------------
 access_logs                 | no                      | bigint                      | NO          | nextval('access_logs_no_seq'::regclass)            |                          |                64 |             0
 access_logs                 | path                    | character varying           | YES         |                                                    |                     1024 |                   |              
 access_logs                 | ip_address              | character varying           | YES         |                                                    |                       64 |                   |              
 access_logs                 | user_agent              | character varying           | YES         |                                                    |                     1024 |                   |              
 access_logs                 | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 access_logs                 | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 access_logs                 | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 access_logs                 | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 access_logs                 | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 access_logs                 | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 account_images              | image_id                | bigint                      | NO          | nextval('account_images_image_id_seq'::regclass)   |                          |                64 |             0
 account_images              | user_id                 | integer                     | YES         |                                                    |                          |                32 |             0
 account_images              | file_name               | character varying           | YES         |                                                    |                      256 |                   |              
 account_images              | file_size               | double precision            | YES         |                                                    |                          |                53 |              
 account_images              | file_binary             | bytea                       | YES         |                                                    |                          |                   |              
 account_images              | extension               | character varying           | YES         |                                                    |                      256 |                   |              
 account_images              | content_type            | character varying           | YES         |                                                    |                      256 |                   |              
 account_images              | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 account_images              | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 account_images              | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 account_images              | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 account_images              | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 activities                  | activity_no             | bigint                      | NO          | nextval('activities_activity_no_seq'::regclass)    |                          |                64 |             0
 activities                  | user_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 activities                  | kind                    | integer                     | NO          |                                                    |                          |                32 |             0
 activities                  | target                  | character varying           | NO          |                                                    |                       64 |                   |              
 activities                  | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 activities                  | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 activities                  | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 activities                  | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 activities                  | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 badges                      | no                      | integer                     | NO          | nextval('badges_no_seq'::regclass)                 |                          |                32 |             0
 badges                      | name                    | character varying           | NO          |                                                    |                      128 |                   |              
 badges                      | display_text            | character varying           | NO          |                                                    |                       32 |                   |              
 badges                      | description             | text                        | YES         |                                                    |                          |                   |              
 badges                      | image                   | character varying           | YES         |                                                    |                       64 |                   |              
 badges                      | point                   | integer                     | YES         |                                                    |                          |                32 |             0
 badges                      | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 badges                      | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 badges                      | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 badges                      | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 badges                      | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 comments                    | comment_no              | bigint                      | NO          | nextval('comments_comment_no_seq'::regclass)       |                          |                64 |             0
 comments                    | knowledge_id            | bigint                      | NO          |                                                    |                          |                64 |             0
 comments                    | comment                 | text                        | YES         |                                                    |                          |                   |              
 comments                    | comment_status          | integer                     | YES         |                                                    |                          |                32 |             0
 comments                    | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 comments                    | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 comments                    | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 comments                    | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 comments                    | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 confirm_mail_changes        | id                      | character varying           | NO          |                                                    |                      256 |                   |              
 confirm_mail_changes        | user_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 confirm_mail_changes        | mail_address            | character varying           | NO          |                                                    |                      256 |                   |              
 confirm_mail_changes        | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 confirm_mail_changes        | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 confirm_mail_changes        | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 confirm_mail_changes        | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 confirm_mail_changes        | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 confirm_mail_changes        | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 draft_item_values           | draft_id                | bigint                      | NO          |                                                    |                          |                64 |             0
 draft_item_values           | type_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 draft_item_values           | item_no                 | integer                     | NO          |                                                    |                          |                32 |             0
 draft_item_values           | item_value              | text                        | YES         |                                                    |                          |                   |              
 draft_item_values           | item_status             | integer                     | NO          |                                                    |                          |                32 |             0
 draft_item_values           | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 draft_item_values           | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 draft_item_values           | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 draft_item_values           | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 draft_item_values           | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 draft_knowledges            | draft_id                | bigint                      | NO          | nextval('draft_knowledges_draft_id_seq'::regclass) |                          |                64 |             0
 draft_knowledges            | knowledge_id            | bigint                      | YES         |                                                    |                          |                64 |             0
 draft_knowledges            | title                   | character varying           | NO          |                                                    |                     1024 |                   |              
 draft_knowledges            | content                 | text                        | YES         |                                                    |                          |                   |              
 draft_knowledges            | public_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 draft_knowledges            | accesses                | text                        | YES         |                                                    |                          |                   |              
 draft_knowledges            | editors                 | text                        | YES         |                                                    |                          |                   |              
 draft_knowledges            | tag_names               | text                        | YES         |                                                    |                          |                   |              
 draft_knowledges            | type_id                 | integer                     | YES         |                                                    |                          |                32 |             0
 draft_knowledges            | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 draft_knowledges            | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 draft_knowledges            | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 draft_knowledges            | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 draft_knowledges            | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 events                      | knowledge_id            | bigint                      | NO          |                                                    |                          |                64 |             0
 events                      | start_date_time         | timestamp without time zone | NO          |                                                    |                          |                   |              
 events                      | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 events                      | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 events                      | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 events                      | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 events                      | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 events                      | time_zone               | character varying           | YES         |                                                    |                       64 |                   |              
 events                      | notify_status           | integer                     | YES         |                                                    |                          |                32 |             0
 functions                   | function_key            | character varying           | NO          |                                                    |                       64 |                   |              
 functions                   | description             | character varying           | YES         |                                                    |                      256 |                   |              
 functions                   | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 functions                   | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 functions                   | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 functions                   | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 functions                   | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 functions                   | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 groups                      | group_id                | integer                     | NO          | nextval('groups_group_id_seq'::regclass)           |                          |                32 |             0
 groups                      | group_key               | character varying           | NO          |                                                    |                       68 |                   |              
 groups                      | group_name              | character varying           | NO          |                                                    |                      128 |                   |              
 groups                      | description             | character varying           | YES         |                                                    |                      256 |                   |              
 groups                      | parent_group_key        | character varying           | YES         |                                                    |                      128 |                   |              
 groups                      | group_class             | integer                     | YES         |                                                    |                          |                32 |             0
 groups                      | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 groups                      | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 groups                      | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 groups                      | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 groups                      | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 groups                      | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 hash_configs                | system_name             | character varying           | NO          |                                                    |                       64 |                   |              
 hash_configs                | hash_iterations         | integer                     | NO          |                                                    |                          |                32 |             0
 hash_configs                | hash_size_bits          | integer                     | NO          |                                                    |                          |                32 |             0
 hash_configs                | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 hash_configs                | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 hash_configs                | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 hash_configs                | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 hash_configs                | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 hash_configs                | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 item_choices                | type_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 item_choices                | item_no                 | integer                     | NO          |                                                    |                          |                32 |             0
 item_choices                | choice_no               | integer                     | NO          |                                                    |                          |                32 |             0
 item_choices                | choice_value            | character varying           | NO          |                                                    |                      256 |                   |              
 item_choices                | choice_label            | character varying           | NO          |                                                    |                      256 |                   |              
 item_choices                | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 item_choices                | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 item_choices                | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 item_choices                | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 item_choices                | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_edit_groups       | knowledge_id            | bigint                      | NO          |                                                    |                          |                64 |             0
 knowledge_edit_groups       | group_id                | integer                     | NO          |                                                    |                          |                32 |             0
 knowledge_edit_groups       | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_edit_groups       | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledge_edit_groups       | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_edit_groups       | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledge_edit_groups       | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_edit_users        | knowledge_id            | bigint                      | NO          |                                                    |                          |                64 |             0
 knowledge_edit_users        | user_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 knowledge_edit_users        | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_edit_users        | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledge_edit_users        | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_edit_users        | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledge_edit_users        | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_files             | file_no                 | bigint                      | NO          | nextval('knowledge_files_file_no_seq'::regclass)   |                          |                64 |             0
 knowledge_files             | knowledge_id            | bigint                      | YES         |                                                    |                          |                64 |             0
 knowledge_files             | comment_no              | bigint                      | YES         |                                                    |                          |                64 |             0
 knowledge_files             | file_name               | character varying           | YES         |                                                    |                      256 |                   |              
 knowledge_files             | file_size               | double precision            | YES         |                                                    |                          |                53 |              
 knowledge_files             | file_binary             | bytea                       | YES         |                                                    |                          |                   |              
 knowledge_files             | parse_status            | integer                     | NO          |                                                    |                          |                32 |             0
 knowledge_files             | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_files             | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledge_files             | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_files             | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledge_files             | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_files             | draft_id                | bigint                      | YES         |                                                    |                          |                64 |             0
 knowledge_groups            | knowledge_id            | bigint                      | NO          |                                                    |                          |                64 |             0
 knowledge_groups            | group_id                | integer                     | NO          |                                                    |                          |                32 |             0
 knowledge_groups            | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_groups            | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledge_groups            | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_groups            | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledge_groups            | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_histories         | knowledge_id            | bigint                      | NO          |                                                    |                          |                64 |             0
 knowledge_histories         | history_no              | integer                     | NO          |                                                    |                          |                32 |             0
 knowledge_histories         | title                   | character varying           | NO          |                                                    |                     1024 |                   |              
 knowledge_histories         | content                 | text                        | YES         |                                                    |                          |                   |              
 knowledge_histories         | public_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_histories         | tag_ids                 | character varying           | YES         |                                                    |                     1024 |                   |              
 knowledge_histories         | tag_names               | text                        | YES         |                                                    |                          |                   |              
 knowledge_histories         | like_count              | bigint                      | YES         |                                                    |                          |                64 |             0
 knowledge_histories         | comment_count           | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_histories         | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_histories         | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledge_histories         | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_histories         | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledge_histories         | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_item_values       | knowledge_id            | bigint                      | NO          |                                                    |                          |                64 |             0
 knowledge_item_values       | type_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 knowledge_item_values       | item_no                 | integer                     | NO          |                                                    |                          |                32 |             0
 knowledge_item_values       | item_value              | text                        | YES         |                                                    |                          |                   |              
 knowledge_item_values       | item_status             | integer                     | NO          |                                                    |                          |                32 |             0
 knowledge_item_values       | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_item_values       | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledge_item_values       | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_item_values       | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledge_item_values       | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_tags              | knowledge_id            | bigint                      | NO          |                                                    |                          |                64 |             0
 knowledge_tags              | tag_id                  | integer                     | NO          |                                                    |                          |                32 |             0
 knowledge_tags              | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_tags              | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledge_tags              | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_tags              | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledge_tags              | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_users             | knowledge_id            | bigint                      | NO          |                                                    |                          |                64 |             0
 knowledge_users             | user_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 knowledge_users             | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_users             | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledge_users             | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledge_users             | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledge_users             | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledges                  | knowledge_id            | bigint                      | NO          | nextval('knowledges_knowledge_id_seq'::regclass)   |                          |                64 |             0
 knowledges                  | title                   | character varying           | NO          |                                                    |                     1024 |                   |              
 knowledges                  | content                 | text                        | YES         |                                                    |                          |                   |              
 knowledges                  | public_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledges                  | tag_ids                 | character varying           | YES         |                                                    |                     1024 |                   |              
 knowledges                  | tag_names               | text                        | YES         |                                                    |                          |                   |              
 knowledges                  | like_count              | bigint                      | YES         |                                                    |                          |                64 |             0
 knowledges                  | comment_count           | integer                     | YES         |                                                    |                          |                32 |             0
 knowledges                  | type_id                 | integer                     | YES         |                                                    |                          |                32 |             0
 knowledges                  | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledges                  | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledges                  | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledges                  | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 knowledges                  | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 knowledges                  | notify_status           | integer                     | YES         |                                                    |                          |                32 |             0
 knowledges                  | view_count              | bigint                      | YES         |                                                    |                          |                64 |             0
 knowledges                  | point                   | integer                     | NO          | 0                                                  |                          |                32 |             0
 ldap_configs                | system_name             | character varying           | NO          |                                                    |                       64 |                   |              
 ldap_configs                | host                    | character varying           | NO          |                                                    |                      256 |                   |              
 ldap_configs                | port                    | integer                     | NO          |                                                    |                          |                32 |             0
 ldap_configs                | use_ssl                 | integer                     | YES         |                                                    |                          |                32 |             0
 ldap_configs                | use_tls                 | integer                     | YES         |                                                    |                          |                32 |             0
 ldap_configs                | bind_dn                 | character varying           | YES         |                                                    |                      256 |                   |              
 ldap_configs                | bind_password           | character varying           | YES         |                                                    |                     1024 |                   |              
 ldap_configs                | salt                    | character varying           | YES         |                                                    |                     1024 |                   |              
 ldap_configs                | base_dn                 | character varying           | NO          |                                                    |                      256 |                   |              
 ldap_configs                | filter                  | character varying           | YES         |                                                    |                      256 |                   |              
 ldap_configs                | id_attr                 | character varying           | NO          |                                                    |                      256 |                   |              
 ldap_configs                | name_attr               | character varying           | YES         |                                                    |                      256 |                   |              
 ldap_configs                | mail_attr               | character varying           | YES         |                                                    |                      256 |                   |              
 ldap_configs                | admin_check_filter      | character varying           | YES         |                                                    |                      256 |                   |              
 ldap_configs                | auth_type               | integer                     | NO          |                                                    |                          |                32 |             0
 ldap_configs                | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 ldap_configs                | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 ldap_configs                | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 ldap_configs                | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 ldap_configs                | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 ldap_configs                | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 ldap_configs                | description             | character varying           | YES         |                                                    |                       64 |                   |              
 like_comments               | no                      | bigint                      | NO          | nextval('like_comments_no_seq'::regclass)          |                          |                64 |             0
 like_comments               | comment_no              | bigint                      | NO          |                                                    |                          |                64 |             0
 like_comments               | like_class              | integer                     | YES         | 1                                                  |                          |                32 |             0
 like_comments               | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 like_comments               | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 like_comments               | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 like_comments               | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 like_comments               | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 likes                       | no                      | bigint                      | NO          | nextval('likes_no_seq'::regclass)                  |                          |                64 |             0
 likes                       | knowledge_id            | bigint                      | NO          |                                                    |                          |                64 |             0
 likes                       | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 likes                       | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 likes                       | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 likes                       | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 likes                       | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 likes                       | like_class              | integer                     | YES         | 1                                                  |                          |                32 |             0
 locales                     | key                     | character varying           | NO          |                                                    |                       12 |                   |              
 locales                     | language                | character varying           | NO          |                                                    |                        4 |                   |              
 locales                     | country                 | character varying           | YES         |                                                    |                        4 |                   |              
 locales                     | variant                 | character varying           | YES         |                                                    |                        4 |                   |              
 locales                     | disp_name               | character varying           | YES         |                                                    |                      128 |                   |              
 locales                     | flag_icon               | character varying           | YES         |                                                    |                       24 |                   |              
 locales                     | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 locales                     | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 locales                     | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 locales                     | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 locales                     | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 locales                     | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 login_histories             | user_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 login_histories             | login_count             | double precision            | NO          |                                                    |                          |                53 |              
 login_histories             | lodin_date_time         | timestamp without time zone | NO          |                                                    |                          |                   |              
 login_histories             | ip_address              | character varying           | YES         |                                                    |                       15 |                   |              
 login_histories             | user_agent              | character varying           | YES         |                                                    |                      256 |                   |              
 login_histories             | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 login_histories             | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 login_histories             | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 login_histories             | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 login_histories             | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 login_histories             | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 mail_configs                | system_name             | character varying           | NO          |                                                    |                       64 |                   |              
 mail_configs                | host                    | character varying           | NO          |                                                    |                      256 |                   |              
 mail_configs                | port                    | integer                     | NO          |                                                    |                          |                32 |             0
 mail_configs                | auth_type               | integer                     | NO          |                                                    |                          |                32 |             0
 mail_configs                | smtp_id                 | character varying           | YES         |                                                    |                      256 |                   |              
 mail_configs                | smtp_password           | character varying           | YES         |                                                    |                     1024 |                   |              
 mail_configs                | salt                    | character varying           | YES         |                                                    |                     1024 |                   |              
 mail_configs                | from_address            | character varying           | YES         |                                                    |                      256 |                   |              
 mail_configs                | from_name               | character varying           | YES         |                                                    |                      256 |                   |              
 mail_configs                | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 mail_configs                | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 mail_configs                | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 mail_configs                | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 mail_configs                | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
